sentence,sentiment
اپلیکیشن عالی بود,مثبت
غذا وقت تلف کردن بود,منفی
فیلم نه خوب بود نه بد,خنثی
هتل متوسط بود,خنثی
سفر چیز خاصی نداشت,خنثی
محصول خیلی ضعیف بود,منفی
موسیقی نه جذبم کرد نه اذیتم,خنثی
کتاب تجربه فوق‌العاده‌ای بود,مثبت
سفر خیلی ضعیف بود,منفی
سایت خیلی لذت بردم,مثبت
فیلم بی‌نظیر بود,مثبت
سفر خیلی لذت بردم,مثبت
غذا بی‌نظیر بود,مثبت
رستوران عالی بود,مثبت
رستوران خنثی بود,خنثی
کتاب وقت تلف کردن بود,منفی
محصول افتضاح بود,منفی
رستوران متوسط بود,خنثی
فیلم افتضاح بود,منفی
اپلیکیشن افتضاح بود,منفی
کتاب متوسط بود,خنثی
سفر نه خوب بود نه بد,خنثی
اپلیکیشن واقعا راضی‌ام,مثبت
سفر بی‌نظیر بود,مثبت
کتاب افتضاح بود,منفی
فیلم پشیمون شدم,منفی
محصول تا حدی قابل استفاده بود,خنثی
رستوران معمولی بود,خنثی
رستوران خیلی ضعیف بود,منفی
اپلیکیشن ارزش دیدن داشت,مثبت
موسیقی خیلی ضعیف بود,منفی
موسیقی واقعا راضی‌ام,مثبت
غذا اصلاً خوشم نیومد,منفی
محصول چیز خاصی نداشت,خنثی
غذا بی‌کیفیت و آزاردهنده بود,منفی
سایت بی‌کیفیت و آزاردهنده بود,منفی
غذا واقعا راضی‌ام,مثبت
غذا دلنشین و جذاب بود,مثبت
اپلیکیشن حتماً پیشنهاد می‌کنم,مثبت
رستوران حتماً پیشنهاد می‌کنم,مثبت
هتل ناامیدکننده بود,منفی
سایت بی‌نظیر بود,مثبت
فیلم پشیمون شدم,منفی
غذا عالی بود,مثبت
هتل قابل قبول بود,خنثی
محصول نه جذبم کرد نه اذیتم,خنثی
رستوران خیلی ضعیف بود,منفی
سفر عالی بود,مثبت
رستوران خنثی بود,خنثی
محصول بی‌نظیر بود,مثبت
فیلم چیز خاصی نداشت,خنثی
سایت تا حدی قابل استفاده بود,خنثی
محصول بی‌کیفیت و آزاردهنده بود,منفی
هتل خنثی بود,خنثی
کتاب حتماً پیشنهاد می‌کنم,مثبت
هتل اصلاً پیشنهاد نمی‌کنم,منفی
سایت وقت تلف کردن بود,منفی
محصول نه خوب بود نه بد,خنثی
اپلیکیشن بی‌کیفیت و آزاردهنده بود,منفی
محصول افتضاح بود,منفی
فیلم افتضاح بود,منفی
رستوران عالی بود,مثبت
رستوران اصلاً خوشم نیومد,منفی
سایت متوسط بود,خنثی
غذا خیلی ضعیف بود,منفی
هتل بی‌کیفیت و آزاردهنده بود,منفی
محصول واقعا راضی‌ام,مثبت
کتاب خیلی ضعیف بود,منفی
موسیقی اصلاً پیشنهاد نمی‌کنم,منفی
کتاب تا حدی قابل استفاده بود,خنثی
موسیقی بی‌کیفیت و آزاردهنده بود,منفی
رستوران واقعا راضی‌ام,مثبت
سایت نه خوب بود نه بد,خنثی
رستوران چیز خاصی نداشت,خنثی
فیلم قابل قبول بود,خنثی
فیلم خیلی ضعیف بود,منفی
رستوران بی‌کیفیت و آزاردهنده بود,منفی
موسیقی ناامیدکننده بود,منفی
محصول تجربه فوق‌العاده‌ای بود,مثبت
کتاب تا حدی قابل استفاده بود,خنثی
اپلیکیشن خیلی لذت بردم,مثبت
سفر خنثی بود,خنثی
غذا ناامیدکننده بود,منفی
هتل خیلی لذت بردم,مثبت
محصول ناامیدکننده بود,منفی
موسیقی خیلی لذت بردم,مثبت
فیلم متوسط بود,خنثی
محصول قابل قبول بود,خنثی
موسیقی تا حدی قابل استفاده بود,خنثی
کتاب بی‌نظیر بود,مثبت
غذا بی‌کیفیت و آزاردهنده بود,منفی
فیلم خیلی ضعیف بود,منفی
محصول بی‌نظیر بود,مثبت
موسیقی پشیمون شدم,منفی
سایت پشیمون شدم,منفی
رستوران اصلاً پیشنهاد نمی‌کنم,منفی
رستوران تا حدی قابل استفاده بود,خنثی
اپلیکیشن دلنشین و جذاب بود,مثبت
رستوران ارزش دیدن داشت,مثبت
سایت تجربه فوق‌العاده‌ای بود,مثبت
محصول بی‌نظیر بود,مثبت
سایت وقت تلف کردن بود,منفی
محصول متوسط بود,خنثی
موسیقی پشیمون شدم,منفی
اپلیکیشن خنثی بود,خنثی
محصول افتضاح بود,منفی
سایت بی‌کیفیت و آزاردهنده بود,منفی
فیلم بی‌کیفیت و آزاردهنده بود,منفی
موسیقی خنثی بود,خنثی
سایت نه خوب بود نه بد,خنثی
هتل تجربه فوق‌العاده‌ای بود,مثبت
محصول خیلی ضعیف بود,منفی
موسیقی نه جذبم کرد نه اذیتم,خنثی
فیلم اصلاً پیشنهاد نمی‌کنم,منفی
محصول وقت تلف کردن بود,منفی
محصول بی‌کیفیت و آزاردهنده بود,منفی
کتاب چیز خاصی نداشت,خنثی
محصول حتماً پیشنهاد می‌کنم,مثبت
رستوران خیلی ضعیف بود,منفی
محصول خیلی ضعیف بود,منفی
سایت افتضاح بود,منفی
رستوران خیلی لذت بردم,مثبت
رستوران وقت تلف کردن بود,منفی
رستوران قابل قبول بود,خنثی
سایت تا حدی قابل استفاده بود,خنثی
اپلیکیشن حتماً پیشنهاد می‌کنم,مثبت
رستوران عالی بود,مثبت
سفر وقت تلف کردن بود,منفی
اپلیکیشن نه جذبم کرد نه اذیتم,خنثی
غذا ناامیدکننده بود,منفی
سایت ارزش دیدن داشت,مثبت
سفر نه جذبم کرد نه اذیتم,خنثی
سفر تجربه فوق‌العاده‌ای بود,مثبت
موسیقی افتضاح بود,منفی
سفر تا حدی قابل استفاده بود,خنثی
سایت ناامیدکننده بود,منفی
هتل افتضاح بود,منفی
محصول خیلی ضعیف بود,منفی
کتاب تجربه فوق‌العاده‌ای بود,مثبت
رستوران اصلاً پیشنهاد نمی‌کنم,منفی
فیلم معمولی بود,خنثی
موسیقی تا حدی قابل استفاده بود,خنثی
هتل خیلی ضعیف بود,منفی
اپلیکیشن افتضاح بود,منفی
فیلم پشیمون شدم,منفی
فیلم چیز خاصی نداشت,خنثی
غذا افتضاح بود,منفی
سفر قابل قبول بود,خنثی
هتل اصلاً پیشنهاد نمی‌کنم,منفی
غذا واقعا راضی‌ام,مثبت
هتل عالی بود,مثبت
غذا بی‌نظیر بود,مثبت
فیلم چیز خاصی نداشت,خنثی
فیلم اصلاً پیشنهاد نمی‌کنم,منفی
محصول افتضاح بود,منفی
فیلم اصلاً خوشم نیومد,منفی
اپلیکیشن عالی بود,مثبت
سفر ناامیدکننده بود,منفی
اپلیکیشن خنثی بود,خنثی
غذا اصلاً پیشنهاد نمی‌کنم,منفی
کتاب بی‌نظیر بود,مثبت
اپلیکیشن متوسط بود,خنثی
هتل نه جذبم کرد نه اذیتم,خنثی
سایت حتماً پیشنهاد می‌کنم,مثبت
غذا معمولی بود,خنثی
اپلیکیشن چیز خاصی نداشت,خنثی
کتاب بی‌کیفیت و آزاردهنده بود,منفی
سایت متوسط بود,خنثی
فیلم ارزش دیدن داشت,مثبت
رستوران چیز خاصی نداشت,خنثی
موسیقی نه خوب بود نه بد,خنثی
سفر افتضاح بود,منفی
اپلیکیشن افتضاح بود,منفی
اپلیکیشن وقت تلف کردن بود,منفی
سفر نه خوب بود نه بد,خنثی
محصول خیلی لذت بردم,مثبت
موسیقی وقت تلف کردن بود,منفی
هتل دلنشین و جذاب بود,مثبت
اپلیکیشن دلنشین و جذاب بود,مثبت
غذا واقعا راضی‌ام,مثبت
غذا چیز خاصی نداشت,خنثی
سایت اصلاً پیشنهاد نمی‌کنم,منفی
سفر تا حدی قابل استفاده بود,خنثی
اپلیکیشن بی‌نظیر بود,مثبت
اپلیکیشن چیز خاصی نداشت,خنثی
اپلیکیشن ناامیدکننده بود,منفی
غذا عالی بود,مثبت
محصول دلنشین و جذاب بود,مثبت
غذا تجربه فوق‌العاده‌ای بود,مثبت
موسیقی پشیمون شدم,منفی
هتل خیلی لذت بردم,مثبت
سایت بی‌نظیر بود,مثبت
سفر وقت تلف کردن بود,منفی
کتاب معمولی بود,خنثی
سفر نه جذبم کرد نه اذیتم,خنثی
فیلم اصلاً خوشم نیومد,منفی
هتل ناامیدکننده بود,منفی
کتاب بی‌کیفیت و آزاردهنده بود,منفی
غذا خنثی بود,خنثی
سایت اصلاً خوشم نیومد,منفی
کتاب تجربه فوق‌العاده‌ای بود,مثبت
رستوران عالی بود,مثبت
هتل نه خوب بود نه بد,خنثی
سایت قابل قبول بود,خنثی
اپلیکیشن معمولی بود,خنثی
سایت افتضاح بود,منفی
اپلیکیشن وقت تلف کردن بود,منفی
رستوران تجربه فوق‌العاده‌ای بود,مثبت
موسیقی پشیمون شدم,منفی
محصول تجربه فوق‌العاده‌ای بود,مثبت
سایت پشیمون شدم,منفی
اپلیکیشن واقعا راضی‌ام,مثبت
سایت پشیمون شدم,منفی
کتاب متوسط بود,خنثی
محصول خنثی بود,خنثی
کتاب بی‌نظیر بود,مثبت
اپلیکیشن تا حدی قابل استفاده بود,خنثی
